trial,leftId,rightId,ratL,ratR,Frame,endTime,choice,choiceTime
0.0,18.0,17.0,37.0,15.0,1.0,7.511137468000015,-1.0,1.0045875250000336
1.0,15.0,27.0,32.0,33.0,1.0,7.5158402030001525,-1.0,1.8371051520000492
2.0,32.0,4.0,25.0,29.0,1.0,7.515556838999828,1.0,1.9401592269998673
3.0,27.0,15.0,33.0,32.0,2.0,7.515067424000108,-1.0,2.3876509939998414
4.0,14.0,16.0,27.0,33.0,1.0,7.5156727819999105,1.0,2.0583867180000652
5.0,18.0,7.0,37.0,36.0,2.0,7.511029808999865,1.0,2.4400945839997803
6.0,10.0,12.0,44.0,47.0,1.0,7.515511477000018,1.0,2.5877436959999613
7.0,21.0,16.0,38.0,33.0,1.0,7.515494476999947,-1.0,2.792284949000077
8.0,20.0,2.0,43.0,22.0,1.0,7.515887716999941,-1.0,2.50977725000007
9.0,15.0,27.0,32.0,33.0,2.0,7.515478108999787,1.0,3.0096129609999025
10.0,7.0,18.0,36.0,37.0,2.0,7.515340104000188,-1.0,2.3223971119998623
11.0,10.0,12.0,44.0,47.0,2.0,7.515608504000056,-1.0,2.5761369030001333
12.0,17.0,18.0,15.0,37.0,1.0,7.51486587799991,1.0,3.143107488999931
13.0,15.0,2.0,32.0,22.0,2.0,7.515693428000077,1.0,2.643500050999819
14.0,5.0,7.0,6.0,36.0,2.0,7.515107767000018,1.0,2.6274758319998455
15.0,21.0,27.0,38.0,33.0,1.0,7.5492841139998745,-1.0,3.4756672940000044
16.0,5.0,29.0,6.0,1.0,2.0,7.504710224000064,-1.0,3.403403874999867
17.0,4.0,12.0,29.0,47.0,2.0,7.5059620509998695,-1.0,2.3255267730000924
18.0,4.0,32.0,29.0,25.0,1.0,7.515335448000087,,
19.0,16.0,21.0,33.0,38.0,1.0,7.515377472999944,1.0,1.2704716099999587
20.0,7.0,18.0,36.0,37.0,1.0,7.514929322999933,1.0,1.792518489000031
21.0,14.0,10.0,27.0,44.0,1.0,7.512374566999824,1.0,1.570540402000006
22.0,1.0,28.0,48.0,34.0,1.0,7.515170571999988,-1.0,2.0551006179998694
23.0,32.0,4.0,25.0,29.0,2.0,7.515300269999898,-1.0,3.359183923000046
24.0,10.0,14.0,44.0,27.0,2.0,7.515075247999903,1.0,2.2761300099998607
25.0,30.0,3.0,20.0,37.0,1.0,7.515484053999899,1.0,3.109363257000041
26.0,2.0,15.0,22.0,32.0,2.0,7.515251514000056,-1.0,2.477211865000072
27.0,28.0,1.0,34.0,48.0,2.0,7.51566617200001,1.0,3.009206779000124
28.0,21.0,27.0,38.0,33.0,2.0,7.515416216999938,-1.0,2.8416968579999775
29.0,1.0,28.0,48.0,34.0,2.0,7.528870362999896,1.0,2.7766826079998737
30.0,18.0,17.0,37.0,15.0,2.0,7.515721515999985,1.0,1.1438642420000633
31.0,29.0,1.0,1.0,48.0,1.0,7.515273638000053,1.0,2.7750260840000465
32.0,5.0,29.0,6.0,1.0,1.0,7.5150498430000425,-1.0,3.2771311999999853
33.0,20.0,3.0,43.0,37.0,1.0,7.5150882319999255,1.0,2.459850256999971
34.0,28.0,32.0,34.0,25.0,2.0,7.515427985000088,1.0,3.12518428400017
35.0,3.0,20.0,37.0,43.0,1.0,7.515782699000056,1.0,0.9388812019999477
36.0,30.0,17.0,20.0,15.0,1.0,7.51543093600003,-1.0,1.0926892360000693
37.0,17.0,30.0,15.0,20.0,2.0,7.512084817000186,-1.0,2.6220326140000907
38.0,27.0,21.0,33.0,38.0,1.0,7.51532221299999,-1.0,3.2253406700001506
39.0,17.0,30.0,15.0,20.0,1.0,7.515446118,1.0,1.3759865099998478
40.0,27.0,15.0,33.0,32.0,1.0,7.515730723000161,1.0,1.8254969199999778
41.0,4.0,32.0,29.0,25.0,2.0,7.5112835110001015,1.0,2.9756727720000526
42.0,28.0,32.0,34.0,25.0,1.0,7.515048214999979,-1.0,2.425433550999969
43.0,16.0,14.0,33.0,27.0,1.0,7.514554522000026,-1.0,2.192686386999867
44.0,16.0,14.0,33.0,27.0,2.0,7.515279817999954,,
45.0,32.0,28.0,25.0,34.0,1.0,7.515579493999894,1.0,2.9092773410000063
46.0,21.0,16.0,38.0,33.0,2.0,7.514729062000015,,
47.0,29.0,5.0,1.0,6.0,2.0,7.514917123000032,1.0,2.505934643000046
48.0,2.0,15.0,22.0,32.0,1.0,7.515491342000132,-1.0,2.8431026119999387
49.0,29.0,5.0,1.0,6.0,1.0,7.51200185499988,1.0,2.293831706000219
50.0,30.0,17.0,20.0,15.0,2.0,7.515092041999878,-1.0,2.2595177599998806
51.0,12.0,10.0,47.0,44.0,1.0,7.515204407000056,1.0,1.659369346999938
52.0,10.0,14.0,44.0,27.0,1.0,7.515298885999982,-1.0,1.8752508679999664
53.0,7.0,5.0,36.0,6.0,1.0,7.514627780999945,-1.0,1.6434392569999545
54.0,29.0,1.0,1.0,48.0,2.0,7.515018759999975,-1.0,1.7760574530000213
55.0,20.0,3.0,43.0,37.0,2.0,7.515312167000047,1.0,2.810277724999878
56.0,7.0,5.0,36.0,6.0,2.0,7.514971531000128,1.0,2.0590787969999838
57.0,3.0,20.0,37.0,43.0,2.0,7.515402212000026,1.0,2.909436193999909
58.0,16.0,21.0,33.0,38.0,2.0,7.514978681000002,-1.0,2.1429539989999284
59.0,20.0,2.0,43.0,22.0,2.0,7.515488133999952,1.0,2.042670175000012
60.0,5.0,7.0,6.0,36.0,1.0,7.515538204999984,,
61.0,17.0,18.0,15.0,37.0,2.0,7.512337046000084,-1.0,2.2444804839999506
62.0,2.0,20.0,22.0,43.0,1.0,7.5150830399998085,1.0,1.7092025050001212
63.0,28.0,1.0,34.0,48.0,1.0,7.51569801200003,1.0,2.777205469999899
64.0,14.0,16.0,27.0,33.0,2.0,7.514702618000001,-1.0,1.3932534450000276
65.0,15.0,2.0,32.0,22.0,1.0,7.501947027999904,-1.0,3.394147804000113
66.0,12.0,4.0,47.0,29.0,2.0,7.508797207000043,1.0,2.792817322000019
67.0,27.0,21.0,33.0,38.0,2.0,7.515326272000038,-1.0,2.5927625819999776
68.0,30.0,3.0,20.0,37.0,2.0,7.514750112999991,-1.0,2.5087868699999945
69.0,3.0,30.0,37.0,20.0,2.0,7.515188733999821,-1.0,1.276213749000135
70.0,2.0,20.0,22.0,43.0,2.0,7.515142469000011,-1.0,3.32633974700002
71.0,1.0,29.0,48.0,1.0,1.0,7.5151878019999,1.0,2.5098419210000884
72.0,4.0,12.0,29.0,47.0,1.0,7.51493289799987,1.0,3.043330024999932
73.0,12.0,10.0,47.0,44.0,2.0,7.512510272999862,-1.0,2.8756351980000545
74.0,18.0,7.0,37.0,36.0,1.0,7.515343696000173,-1.0,2.0759206669999912
75.0,1.0,29.0,48.0,1.0,2.0,7.514637111999946,1.0,2.160741863000112
76.0,12.0,4.0,47.0,29.0,1.0,7.515854018000027,1.0,2.1599446160000753
77.0,14.0,10.0,27.0,44.0,2.0,7.515623943000037,-1.0,2.325951132
78.0,32.0,28.0,25.0,34.0,2.0,7.515613939000104,-1.0,0.7756442170000355
79.0,3.0,30.0,37.0,20.0,1.0,7.515422424999997,-1.0,1.6943152720000398
