trial,leftId,rightId,Frame,endTime,choice,choiceTime
0.0,5.0,10.0,2.0,7.513571090999903,-1.0,1.0384041970000908
1.0,25.0,7.0,2.0,7.515073610999934,1.0,0.8398387099996398
2.0,7.0,13.0,2.0,7.514339514999847,1.0,2.9920230369998535
3.0,25.0,21.0,1.0,7.514255222999964,1.0,2.1908331200002067
4.0,17.0,3.0,1.0,7.515355438999904,-1.0,3.1271048700000392
5.0,19.0,32.0,1.0,7.510954654999296,1.0,2.6059672769997633
6.0,13.0,15.0,1.0,7.514395371000319,1.0,2.010056207999696
7.0,8.0,16.0,1.0,7.515036680999401,1.0,3.30887783199978
8.0,4.0,32.0,2.0,7.514475380000476,1.0,0.7104331379996438
9.0,11.0,8.0,1.0,7.514160836999508,1.0,2.1898757669996485
10.0,24.0,27.0,2.0,7.515155091000452,-1.0,2.458300632000828
11.0,17.0,2.0,2.0,7.5136858260002555,-1.0,2.126323401999798
12.0,32.0,19.0,1.0,7.506080441000449,-1.0,3.4087381939998522
13.0,27.0,3.0,1.0,7.506624315999943,-1.0,1.743457354000384
14.0,3.0,27.0,2.0,7.51568159099952,1.0,3.2599704070007647
15.0,2.0,15.0,1.0,7.500396156000534,,
16.0,10.0,4.0,2.0,7.5145574429998305,-1.0,1.939052470000206
17.0,24.0,27.0,1.0,7.514842836000753,1.0,1.9270522739998341
18.0,12.0,5.0,1.0,7.513939966999715,-1.0,1.4576380970001992
19.0,3.0,17.0,2.0,7.514744155000699,-1.0,1.5735606380003446
20.0,11.0,14.0,2.0,7.514190998000231,-1.0,1.4743407839996507
21.0,27.0,24.0,1.0,7.511626106999756,-1.0,0.8080094499991901
22.0,15.0,2.0,1.0,7.514971761000197,-1.0,1.3592654799995216
23.0,7.0,25.0,2.0,7.514001439999447,-1.0,2.023935062000419
24.0,5.0,12.0,2.0,7.514600160000555,-1.0,1.75822877399969
25.0,19.0,32.0,2.0,7.515237452999827,-1.0,1.6104579799994099
26.0,24.0,19.0,1.0,7.514076112000112,1.0,1.2101413820000744
27.0,13.0,7.0,2.0,7.514718964000167,-1.0,2.46043384099994
28.0,32.0,4.0,1.0,7.5143408020003335,1.0,1.325722198999756
29.0,12.0,16.0,1.0,7.514967796999372,-1.0,1.4270154480000201
30.0,13.0,7.0,1.0,7.514353537999341,1.0,2.7108880780006075
31.0,17.0,2.0,1.0,7.5146572839994406,1.0,1.3769705659997271
32.0,14.0,21.0,2.0,7.514252581000619,1.0,0.7606875179999406
33.0,2.0,17.0,2.0,7.514703023000038,1.0,2.0782724880000387
34.0,7.0,25.0,1.0,7.514422205999836,1.0,2.3936756959992636
35.0,7.0,13.0,1.0,7.514707433000694,-1.0,2.26090937599929
36.0,3.0,27.0,1.0,7.514389181999832,1.0,1.2440648250003505
37.0,11.0,14.0,1.0,7.509914586000377,1.0,2.7775982909997765
38.0,21.0,25.0,1.0,7.516126587000144,-1.0,1.709993621000649
39.0,10.0,5.0,1.0,7.5149400079999396,-1.0,1.0093801050006732
40.0,27.0,24.0,2.0,7.514678403999824,1.0,1.9434460459997354
41.0,32.0,19.0,2.0,7.514304550999441,1.0,1.5603173829995285
42.0,10.0,5.0,2.0,7.5144375979998586,1.0,1.593238430999918
43.0,15.0,13.0,2.0,7.514482937999674,1.0,1.2107652710001275
44.0,32.0,4.0,2.0,7.51441943699956,-1.0,1.7772809449998022
45.0,16.0,12.0,1.0,7.511104950000117,-1.0,1.5777817769994726
46.0,21.0,14.0,2.0,7.51402131300074,1.0,1.9244391319998613
47.0,2.0,15.0,2.0,7.514621762999923,-1.0,3.2603064840004663
48.0,16.0,8.0,2.0,7.514276527999755,1.0,2.7772553450004125
49.0,5.0,10.0,1.0,7.5151181900000665,1.0,2.0592212580004343
50.0,19.0,24.0,2.0,7.514017131999935,-1.0,2.0275565300007656
51.0,11.0,8.0,2.0,7.51459555800011,-1.0,2.542841727999985
52.0,4.0,10.0,1.0,7.514298249999229,1.0,1.960846975000095
53.0,25.0,21.0,2.0,7.511031410000214,-1.0,2.760285082000337
54.0,19.0,24.0,1.0,7.514092454999627,-1.0,2.960713229999783
55.0,8.0,11.0,1.0,7.514304581000033,,
56.0,14.0,11.0,1.0,7.51485737800067,-1.0,2.0272610679994614
57.0,3.0,17.0,1.0,7.513879129999623,-1.0,1.8598096730001998
58.0,15.0,13.0,1.0,7.514413941999919,-1.0,1.1440938309997364
59.0,10.0,4.0,1.0,7.514276662000157,,
60.0,16.0,8.0,1.0,7.514472694999313,-1.0,1.6421971400004622
61.0,8.0,16.0,2.0,7.514280362000136,-1.0,1.3769652330001918
62.0,8.0,11.0,2.0,7.514345424000567,1.0,0.8267685660002826
63.0,15.0,2.0,2.0,7.5143724569998085,-1.0,1.4271591540000372
64.0,24.0,19.0,2.0,7.514420853999582,-1.0,1.3939114900003915
65.0,14.0,21.0,1.0,7.514583137000045,1.0,1.6593334039998808
66.0,13.0,15.0,2.0,7.5145247909995305,-1.0,1.7942431760002364
67.0,25.0,7.0,1.0,7.513974276000226,-1.0,1.6278909239999848
68.0,16.0,12.0,2.0,7.514388384000085,1.0,1.8757141209998736
69.0,21.0,25.0,2.0,7.514204633999725,1.0,3.1253972269996666
70.0,4.0,10.0,2.0,7.514465102000031,-1.0,1.8604992649998167
71.0,12.0,16.0,2.0,7.5142432870006814,-1.0,1.8440333910002664
72.0,4.0,32.0,1.0,7.514272173999416,-1.0,2.8607739489998494
73.0,14.0,11.0,2.0,7.514444061999711,1.0,1.2105527419998907
74.0,5.0,12.0,1.0,7.514659751000181,1.0,0.3777665210000123
75.0,12.0,5.0,2.0,7.514190575999237,1.0,1.2601524039992
76.0,2.0,17.0,1.0,7.513635530999636,-1.0,0.6774968600002467
77.0,21.0,14.0,1.0,7.511112174000118,-1.0,0.8938745280001967
78.0,17.0,3.0,2.0,7.514503678999972,-1.0,2.1607976810000764
79.0,27.0,3.0,2.0,7.5144540669998605,1.0,2.4265092300001925
