trial,leftId,rightId,Frame,endTime,choice,choiceTime
0.0,21.0,4.0,2.0,7.50840901400079,1.0,1.17483822199938
1.0,12.0,14.0,2.0,7.513929942000686,1.0,0.7802685759997985
2.0,20.0,19.0,2.0,7.5152960940013145,1.0,1.1953173419988161
3.0,2.0,8.0,2.0,7.514498485999866,1.0,0.24773633800032258
4.0,4.0,21.0,1.0,7.51431123600014,1.0,0.17848242100080824
5.0,12.0,20.0,1.0,7.5136062929996115,-1.0,2.181133324000257
6.0,24.0,21.0,2.0,7.514916423000614,1.0,3.36182247600118
7.0,2.0,32.0,2.0,7.513894740000978,1.0,2.0004126309995627
8.0,19.0,8.0,1.0,7.514562644999387,1.0,3.298472448001121
9.0,24.0,21.0,1.0,7.514475295000011,1.0,1.4821912620009243
10.0,7.0,24.0,2.0,7.53337117800038,-1.0,3.4728938860007474
11.0,19.0,20.0,2.0,7.513675746000445,-1.0,2.6804983090005408
12.0,10.0,6.0,2.0,7.512975446999917,,
13.0,11.0,13.0,1.0,7.514578055999664,-1.0,1.2463652200003708
14.0,2.0,8.0,1.0,7.5153742890015565,-1.0,0.6983162570013519
15.0,25.0,14.0,1.0,7.513834373999998,1.0,1.079884700000548
16.0,32.0,2.0,1.0,7.5150248860009015,1.0,0.7491022089998296
17.0,21.0,4.0,1.0,7.514161448001687,-1.0,0.39896560499983025
18.0,14.0,12.0,2.0,7.5142421040000045,-1.0,2.0786672809990705
19.0,18.0,27.0,1.0,7.514449589001742,1.0,1.5472612630001095
20.0,8.0,19.0,1.0,7.514174719000948,,
21.0,12.0,20.0,2.0,7.514755101001356,-1.0,1.616938854000182
22.0,6.0,7.0,1.0,7.51426179399823,-1.0,2.1466012860000774
23.0,32.0,5.0,1.0,7.5144050429989875,-1.0,0.9134814190001634
24.0,24.0,7.0,1.0,7.513695911000468,-1.0,1.2659613450014149
25.0,8.0,2.0,2.0,7.514479489998848,-1.0,0.9809724379992986
26.0,27.0,18.0,1.0,7.514286487999925,1.0,1.5954219169998396
27.0,20.0,12.0,2.0,7.514039091998711,-1.0,1.4145239849985956
28.0,4.0,21.0,2.0,7.513827415001288,-1.0,0.5327352069998597
29.0,18.0,25.0,1.0,7.514261063999584,-1.0,1.4143277409984876
30.0,7.0,6.0,1.0,7.5143283950001205,-1.0,0.7489716219988622
31.0,32.0,2.0,2.0,7.514388015000804,1.0,0.5479243810004846
32.0,19.0,8.0,2.0,7.514679919000628,1.0,1.1652450880010292
33.0,7.0,6.0,2.0,7.514001609000843,-1.0,0.7143503030001739
34.0,12.0,14.0,1.0,7.514653931000794,-1.0,1.6813287630011473
35.0,24.0,7.0,2.0,7.5139262869997765,-1.0,0.46487601499939046
36.0,27.0,16.0,1.0,7.5149337139991985,-1.0,1.2960497839994787
37.0,20.0,12.0,1.0,7.514141441999527,1.0,1.617043816999285
38.0,21.0,24.0,2.0,7.514466687000095,1.0,2.2984417979987484
39.0,27.0,16.0,2.0,7.514048630000616,1.0,1.1153754699989804
40.0,2.0,32.0,1.0,7.514215717999832,-1.0,1.6154191129990068
41.0,27.0,18.0,2.0,7.514134936000119,-1.0,1.7972344770005293
42.0,13.0,11.0,1.0,7.514103274999798,-1.0,0.5303856560003624
43.0,18.0,27.0,2.0,7.513321889000508,-1.0,2.0317311029994016
44.0,16.0,11.0,1.0,7.515178809000645,1.0,1.8635558859987214
45.0,6.0,10.0,2.0,7.514286262001406,1.0,1.745488396998553
46.0,21.0,24.0,1.0,7.514250739999625,-1.0,1.3824093579987675
47.0,6.0,7.0,2.0,7.514658167001471,1.0,0.28228731300077925
48.0,5.0,4.0,2.0,7.513776658999632,-1.0,0.6298376640006609
49.0,20.0,19.0,1.0,7.5144816799984255,-1.0,1.0812479249998432
50.0,25.0,14.0,2.0,7.5135159000001295,-1.0,1.2318532489989593
51.0,5.0,4.0,1.0,7.51541080899915,1.0,1.1139790259985602
52.0,13.0,11.0,2.0,7.512983672000701,1.0,1.0645686249990831
53.0,11.0,16.0,2.0,7.513900826999816,1.0,1.7321947050004383
54.0,32.0,5.0,2.0,7.5145315370009484,1.0,1.1151987510002073
55.0,10.0,6.0,1.0,7.51389625199954,1.0,0.6980618779998622
56.0,4.0,5.0,1.0,7.51395084700016,-1.0,0.6983128880001459
57.0,6.0,10.0,1.0,7.5147992099991825,-1.0,0.7659892760002549
58.0,4.0,5.0,2.0,7.513709356000618,1.0,0.5979135380002845
59.0,19.0,20.0,1.0,7.514821814998868,1.0,1.115193347000968
60.0,5.0,32.0,2.0,7.514048807999643,-1.0,0.5138667589999386
61.0,14.0,12.0,1.0,7.514712983000209,1.0,1.614910582999073
62.0,25.0,18.0,1.0,7.513792839999951,1.0,0.9652015389983717
63.0,16.0,27.0,1.0,7.514786711000852,1.0,0.5477810489992407
64.0,5.0,32.0,1.0,7.51451878700027,1.0,0.515670245000365
65.0,16.0,27.0,2.0,7.5134044570004335,-1.0,0.6996500839995861
66.0,8.0,19.0,2.0,7.514548185999956,-1.0,0.8992615400002251
67.0,18.0,25.0,2.0,7.51407124599973,1.0,0.7320209179997619
68.0,7.0,24.0,1.0,7.514825907999693,-1.0,1.1150971890001529
69.0,11.0,16.0,1.0,7.514245567001126,-1.0,1.6978566039997531
70.0,14.0,25.0,1.0,7.514314694999484,-1.0,1.447989726000742
71.0,8.0,2.0,1.0,7.5144460999999865,1.0,0.7314823599990632
72.0,10.0,13.0,1.0,7.513986928999657,1.0,0.582428252999307
73.0,13.0,10.0,1.0,7.513618265998957,-1.0,0.6800289710008656
74.0,25.0,18.0,2.0,7.514077129000725,-1.0,1.6660862899989297
75.0,13.0,10.0,2.0,7.515014693999547,1.0,0.29827465400012443
76.0,14.0,25.0,2.0,7.514149317999909,1.0,0.7494772560003184
77.0,10.0,13.0,2.0,7.514247148999857,-1.0,1.0482895229997666
78.0,16.0,11.0,2.0,7.513745680000284,1.0,0.6985922860003484
79.0,11.0,13.0,2.0,7.514672967001388,-1.0,0.48165105899897753
