LRat1,LRat2,LVar1,LVar2,Part,RRat1,RRat2,RVar1,RVar2,choice,choiceTime,endTime,frame,leftId,primerSound,rightId,trial,trialEnd,trialOnset,trialOnsetTim,trialRespTime,trialSnd1Tim,trialSnd2Tim,trialThinkTime
2.0,3.0,,,0,4.0,1.0,,,1.0,9.547956398999986,,2.0,6.0,2.0,1.0,12.0,16.014541407000024,226.13242417100014,0.014024504999952114,7.513184216999888,1.0505162129998098,1.5506690600000184,3.5120224919999146
4.0,1.0,,,0,1.0,4.0,,,-1.0,8.765226494999979,,1.0,1.0,2.0,5.0,13.0,18.015025989999913,242.15078994200007,0.014179610999917713,8.513655713999924,1.0516114549998292,1.5528161059999093,3.512449822000008
3.0,2.0,,,0,4.0,1.0,,,-1.0,7.064328048000108,,2.0,2.0,1.0,1.0,14.0,14.012627416999974,260.1703576709999,0.01420206500006316,6.512684098000137,1.0506028859999788,1.5519427210001595,3.512182361999976
1.0,4.0,,,0,2.0,3.0,,,1.0,7.451663945999826,,2.0,5.0,2.0,6.0,15.0,14.000249851000035,274.1850625070001,0.014328856000020098,6.51662563900004,1.0542718500000774,1.5556318960000226,3.515581062000137
2.0,3.0,,,0,3.0,2.0,,,1.0,7.9666605250001785,,2.0,6.0,2.0,2.0,16.0,16.000687580999966,288.18749344099996,0.013686626999970029,7.5159048900000025,1.0535031639999488,1.5541338160001033,3.5149440190000405
2.0,3.0,,,0,1.0,4.0,,,-1.0,8.948018826999943,,1.0,6.0,1.0,5.0,17.0,18.01464537200013,304.1920216410001,0.015374996999980794,8.513463583999965,1.0514002070001425,1.552649102000032,3.5120059360001505
1.0,4.0,,,0,2.0,3.0,,,-1.0,6.9811002149999695,,2.0,5.0,1.0,6.0,18.0,14.012563638000074,322.21198098800005,0.014244135999888384,6.512064389999978,1.050322575999871,1.551564331999998,3.5112200169999133
3.0,2.0,,,0,4.0,1.0,,,-1.0,8.016710228000193,,2.0,2.0,1.0,1.0,19.0,16.000348652000188,336.2267904150001,0.012849246000087078,7.515807816000006,1.0542811590000838,1.5555661430000782,3.51479094299998
4.0,1.0,,,0,1.0,4.0,,,-1.0,8.812111271000049,,1.0,1.0,2.0,5.0,20.0,16.011893395000016,352.234190529,0.013732666000123572,7.510490938999965,1.0478727419999814,1.5491861990001323,3.508968696000011
1.0,4.0,,,0,3.0,2.0,,,1.0,7.966631271000098,,1.0,5.0,2.0,2.0,21.0,16.015759489000175,368.247978849,0.01322288900018975,7.51542772300013,1.0532384960001764,1.5545431440000357,3.5141709520000863
2.0,3.0,,,0,4.0,1.0,,,-1.0,7.91743150100001,,2.0,6.0,1.0,1.0,22.0,16.000308881000134,384.2659890300001,0.014180367000108163,7.5161551000001054,1.053297319000194,1.5546028640001168,3.5148443760001555
3.0,2.0,,,0,2.0,3.0,,,1.0,8.000845718999926,,2.0,2.0,1.0,6.0,23.0,16.016882458999817,400.268169835,0.014111776999925496,7.51580312499982,1.0541209999998955,1.5554299599998558,3.5147703209997867
2.0,3.0,,,0,3.0,2.0,,,-1.0,8.836116743000048,,2.0,6.0,2.0,2.0,24.0,18.001555948000032,421.3021224680001,0.01303162199997132,8.501000799999929,1.0557051149999097,1.5568569600000046,3.516184394999982
3.0,2.0,,,0,1.0,4.0,,,-1.0,8.850510228000076,,1.0,2.0,1.0,5.0,25.0,18.000321572000075,439.3059794810001,0.01365006900005028,8.515858060000028,1.0540308279998951,1.55533028800005,3.5149896519999397
1.0,4.0,,,0,2.0,3.0,,,1.0,8.100092806000019,,1.0,5.0,1.0,6.0,26.0,16.016838935999886,457.308290559,0.014364854999939782,7.51569803999996,1.0541694209998695,1.5553594429998157,3.514565151999932
3.0,2.0,,,0,4.0,1.0,,,1.0,8.033074536999948,,1.0,2.0,1.0,1.0,27.0,16.01565213599997,473.3274372640001,0.014343085999826144,7.515089558,1.053281934999859,1.5545460539999567,3.514189661999808
2.0,3.0,,,0,4.0,1.0,,,1.0,6.900771974999998,,1.0,6.0,2.0,1.0,28.0,14.016021780999838,489.34550753400003,0.014894634000029328,6.515650873999902,1.0536124449999988,1.5548919299999395,3.514685560999851
2.0,3.0,,,0,3.0,2.0,,,1.0,8.000983543000075,,1.0,6.0,2.0,2.0,29.0,16.000362515000234,503.36389035400003,0.01572558500015475,7.515230191000228,1.0539079380000658,1.5551980800000818,3.514730775999851
1.0,4.0,,,0,3.0,2.0,,,-1.0,7.033190456999818,,2.0,5.0,1.0,2.0,30.0,14.015824601000075,519.3661957940001,0.013089854000099876,6.515037374000257,1.0531466339998588,1.5537456050001308,3.514283835000242
4.0,1.0,,,0,2.0,3.0,,,-1.0,6.996881626999767,,1.0,1.0,1.0,6.0,31.0,14.013091756999984,533.3876676410002,0.01439174200004345,6.512036827999964,1.0509055620000254,1.5522491880001326,3.511093794000317
1.0,4.0,,,0,4.0,1.0,,,-1.0,7.566617344999939,,2.0,5.0,1.0,1.0,32.0,14.015504785999838,547.403239728,0.013876769000034985,6.514700359000018,1.0526503940000111,1.5538727220000512,3.5138177530002395
3.0,2.0,,,0,4.0,1.0,,,-1.0,8.896696101000089,,2.0,2.0,2.0,1.0,33.0,18.037951131000227,561.4248445659998,0.014037479999842615,8.511415251000019,1.050136853999902,1.5514391149999938,3.5109911980002835
4.0,1.0,,,0,1.0,4.0,,,1.0,6.958209163999982,,2.0,1.0,2.0,5.0,34.0,14.006979588999913,579.465715822,0.013871052000013151,6.506117376000019,1.0442358450000029,1.5449964899999031,3.5053351560000015
1.0,4.0,,,0,4.0,1.0,,,-1.0,8.581059182999981,,2.0,5.0,2.0,1.0,35.0,18.013167498999792,593.4781312950001,0.013787213999876258,8.512326301999565,1.0505461029997605,1.5518288799999027,3.511268032999851
4.0,1.0,,,0,3.0,2.0,,,1.0,9.050624171000436,,2.0,1.0,2.0,2.0,36.0,18.000238125000124,611.493664203,0.01383745800012548,8.515618158000054,1.054350570999759,1.5556631989998095,3.51470779400006
1.0,4.0,,,0,3.0,2.0,,,1.0,7.067039419000139,,1.0,5.0,2.0,2.0,37.0,14.01673463599991,629.4958718670002,0.013489415000094596,6.515502928999922,1.053716760000043,1.5549971969999206,3.514699022000059
4.0,1.0,,,0,3.0,2.0,,,-1.0,7.866987236999647,,1.0,1.0,2.0,2.0,38.0,16.015631783999652,643.5146522299998,0.013065032999747928,7.515041746999941,1.053043663999688,1.5543147710000085,3.5142843579997134
2.0,3.0,,,0,4.0,1.0,,,-1.0,8.083967723000113,,2.0,6.0,2.0,1.0,39.0,16.000252577000087,659.5327079000001,0.013842503999967448,7.515733236999949,1.0538919789996726,1.5551565549999395,3.514914455000053
2.0,3.0,,,0,1.0,4.0,,,1.0,7.867035894999844,,2.0,6.0,2.0,5.0,40.0,16.016888176000062,675.5349729349998,0.014049457000055554,7.515609446999861,1.0540358690000176,1.5553522639997936,3.5147566480000023
3.0,2.0,,,0,1.0,4.0,,,-1.0,7.399652782999965,,1.0,2.0,1.0,5.0,41.0,14.015593060999892,691.5540778450003,0.013666356000157977,6.514825538999957,1.0527086170000075,1.5539806410001802,3.5140336869999373
2.0,3.0,,,0,1.0,4.0,,,-1.0,7.950128680999569,,1.0,6.0,1.0,5.0,42.0,16.016088640999893,705.572113524,0.01418776499986052,7.515206560000024,1.0534228789997542,1.5546492029998262,3.514544649000072
1.0,4.0,,,0,4.0,1.0,,,-1.0,10.800632805000076,,1.0,5.0,2.0,1.0,43.0,16.01613304400007,721.5909265359999,0.013222310000401194,7.515200155000002,1.052905529000327,1.5543832170001224,3.5143279769999936
4.0,1.0,,,0,1.0,4.0,,,1.0,8.832923304999895,,2.0,1.0,1.0,5.0,44.0,18.016173350999907,737.609604302,0.013545015000090643,8.515044131999732,1.05306616200005,1.5542772750000042,3.5142881259998835
3.0,2.0,,,0,1.0,4.0,,,1.0,8.983465326999976,,2.0,2.0,1.0,5.0,45.0,18.000171192999915,755.6284253050002,0.014288713000041753,8.514980453000135,1.0532351470001229,1.5545026179997876,3.5137646719999798
2.0,3.0,,,0,1.0,4.0,,,1.0,7.913148952000028,,2.0,6.0,1.0,5.0,46.0,16.01261965399999,773.633661569,0.013746257000093465,7.51184077400012,1.0497922290001045,1.5510159380000914,3.510949774000437
4.0,1.0,,,0,1.0,4.0,,,-1.0,6.73377500100014,,1.0,1.0,1.0,5.0,47.0,14.016375628999867,789.6487855480002,0.013550828999996156,6.514976981000018,1.0537413049996758,1.5550235759997122,3.514517770999646
4.0,1.0,,,0,1.0,4.0,,,1.0,9.119651771999996,,2.0,1.0,1.0,5.0,48.0,18.002976761000355,808.6817144210003,0.013251798000055716,8.501705073000268,1.0563849050004137,1.5576889560002198,3.5003786610000134
4.0,1.0,,,0,2.0,3.0,,,1.0,9.049282174999917,,2.0,1.0,1.0,6.0,49.0,18.016071165000085,826.6872889869998,0.014773998000237043,8.514978990000143,1.052555649000169,1.5538134510002235,3.513588276000064
