LRat1,LRat2,LVar1,LVar2,Part,RRat1,RRat2,RVar1,RVar2,choice,choiceTime,endTime,frame,leftId,part,primerSound,rightId,session,trial,trialEnd,trialOnset,trialOnsetTim,trialRespTime,trialSnd1Tim,trialSnd2Tim,trialThinkTime
2.5,2.3333333333333335,0.8366600265340756,0.8366600265340756,1,3.3333333333333335,1.6666666666666667,0.816496580927726,0.816496580927726,1.0,6.590347725999892,,1.0,2.0,1.0,2.0,1.0,0.0,0.0,10.008440558000077,143.07796570600019,0.009619208999538387,3.5035945820000047,1.0236207019997892,1.5239939339999182,3.5033656119994703
3.3333333333333335,1.6666666666666667,0.816496580927726,0.816496580927726,1,2.5,2.3333333333333335,0.8366600265340756,0.8366600265340756,-1.0,4.1714868239996585,,2.0,1.0,1.0,1.0,2.0,0.0,1.0,11.0095130539994,153.0874409170001,0.0090565799991964,3.502708067999265,1.0326792169998953,1.532956735999505,3.5024861729998524
3.3333333333333335,1.6666666666666667,0.816496580927726,0.816496580927726,1,2.5,2.3333333333333335,0.8366600265340756,0.8366600265340756,1.0,3.852746065999781,,2.0,1.0,1.0,2.0,2.0,0.0,2.0,10.006833748000645,164.09800480300058,0.009079172999918228,3.5017567869999766,1.022719182000401,1.5238984500001609,3.5015201800006253
2.0,2.5,0.0,0.0,1,3.3333333333333335,1.6666666666666667,0.816496580927726,0.816496580927726,-1.0,3.769765643000028,,2.0,5.0,1.0,1.0,1.0,0.0,3.0,12.00980453000011,174.10603032000014,0.009284738000133077,3.502460067999891,1.0333544229997642,1.534429917000125,3.5022386720002032
3.3333333333333335,1.6666666666666667,0.816496580927726,0.816496580927726,1,2.0,2.5,0.0,0.0,-1.0,3.7884691609997385,,1.0,1.0,1.0,1.0,5.0,0.0,4.0,10.008920653000134,192.63747312400028,0.009233167000274987,3.503843008000331,1.03466035800011,1.5358002470002248,3.5036322509995443
2.5,2.3333333333333335,0.8366600265340756,0.8366600265340756,1,2.1666666666666665,2.5,0.752772652709081,0.752772652709081,1.0,4.054466079000122,,1.0,2.0,1.0,2.0,6.0,0.0,5.0,12.013348544000108,202.6474737160006,0.009393817000272977,3.50239430000056,1.0281456270004128,1.5293119080006363,3.502148080000552
2.5,2.3333333333333335,0.8366600265340756,0.8366600265340756,1,3.3333333333333335,1.6666666666666667,0.816496580927726,0.816496580927726,-1.0,3.7875070070003862,,2.0,2.0,1.0,1.0,1.0,0.0,6.0,11.001327575000687,219.67826572000013,0.008915789000639052,3.502424637000331,1.032876066999961,1.5332992550002018,3.5021998930005798
2.5,2.3333333333333335,0.8366600265340756,0.8366600265340756,1,2.0,2.5,0.0,0.0,1.0,4.355867293999837,,2.0,2.0,1.0,2.0,5.0,0.0,7.0,10.008696369999598,241.2133994720007,0.009753311000167741,3.5033885299999383,1.0331241940002656,1.5342659090001691,3.50317300200004
2.1666666666666665,2.5,0.752772652709081,0.752772652709081,1,2.0,2.5,0.0,0.0,1.0,3.8369010079995864,,2.0,6.0,1.0,2.0,5.0,0.0,8.0,11.008697137000127,264.26768826900025,0.010293137999724422,3.501764597999681,1.032258983000247,1.533323077999739,3.5015296620003937
2.1666666666666665,2.5,0.752772652709081,0.752772652709081,1,2.5,2.3333333333333335,0.8366600265340756,0.8366600265340756,-1.0,5.67183700699934,,1.0,6.0,1.0,1.0,2.0,0.0,9.0,12.008781802000158,275.27743642899986,0.008549117000256956,3.5019925690003215,1.0238231350003844,1.5245620240002609,3.5017515540002933
2.0,2.5,0.0,0.0,1,3.3333333333333335,1.6666666666666667,0.816496580927726,0.816496580927726,1.0,3.9038404419998183,,1.0,5.0,1.0,2.0,1.0,0.0,10.0,10.007439468000484,287.2873340370006,0.008743745000174384,3.502454915999806,1.0319375070002934,1.533086366000134,3.502231438999843
2.1666666666666665,2.5,0.752772652709081,0.752772652709081,1,3.3333333333333335,1.6666666666666667,0.816496580927726,0.816496580927726,-1.0,3.754157888999544,,2.0,6.0,1.0,1.0,1.0,0.0,11.0,12.010076277000735,297.295832582,0.00894943500043155,3.5027228660001133,1.024414486000751,1.5249901860006505,3.502515916000448
2.1666666666666665,2.5,0.752772652709081,0.752772652709081,1,3.3333333333333335,1.6666666666666667,0.816496580927726,0.816496580927726,1.0,3.8134356780001326,,1.0,6.0,1.0,1.0,1.0,0.0,12.0,12.001765031999641,319.8398094560007,0.009395387999575178,3.5115458899999794,1.0254485639998163,1.526533088999713,3.5113228809996144
2.0,2.5,0.0,0.0,1,2.1666666666666665,2.5,0.752772652709081,0.752772652709081,-1.0,3.871680131000176,,2.0,5.0,1.0,1.0,6.0,0.0,13.0,10.009253932999854,341.3666107520002,0.010041434999948251,3.5035286759994047,1.026031571999738,1.5263867610001398,3.5033018699996314
3.3333333333333335,1.6666666666666667,0.816496580927726,0.816496580927726,1,2.5,2.3333333333333335,0.8366600265340756,0.8366600265340756,-1.0,3.8553986529996114,,1.0,1.0,1.0,1.0,2.0,0.0,14.0,11.016219338999688,356.8966642310006,0.04855559399948106,3.503013320999344,1.0812654569999722,1.5822685759994783,3.5027886249999938
2.5,2.3333333333333335,0.8366600265340756,0.8366600265340756,1,2.1666666666666665,2.5,0.752772652709081,0.752772652709081,-1.0,4.188629952000156,,2.0,2.0,1.0,1.0,6.0,0.0,15.0,12.002258857000015,398.0157947779999,0.010670102999938536,3.5028440360001696,1.0340501430000586,1.5352383649997137,3.502633197999785
