trial,trialOnset,leftId,rightId,ratL,ratR,frame,trialOnsetTim,trialSnd1Tim,trialSnd2Tim,trialThinkTime,trialRespTime,trialEnd,choice,choiceTime,primerSound
0.0,23.04446894900002,6.0,2.0,-1.0,-1.0,2.0,0.018509247000110918,1.0672350340000776,1.5676977339999212,3.5111483780001436,6.5127465189998475,14.013397395000084,1.0,8.09734721299992,2.0
1.0,37.06017159400017,1.0,5.0,-1.0,-1.0,2.0,0.012858609999966575,1.0534614220000549,1.554763739000009,3.5144438010001977,6.515063554000335,14.016257170000245,-1.0,7.066468185999838,1.0
2.0,51.07867651300012,5.0,6.0,-1.0,-1.0,2.0,0.01496587300016472,1.0530701900001986,1.5543491850003193,3.5141526520001207,7.515236761000324,16.016478012000334,1.0,8.017127314999925,2.0
3.0,67.09655828999985,5.0,2.0,-1.0,-1.0,1.0,0.012994617000003927,1.053901063000012,1.555092539999805,3.515087004000179,6.515888497000105,14.00028486600013,1.0,6.917032910999751,1.0
4.0,81.09825228499994,6.0,5.0,-1.0,-1.0,1.0,0.012702042000000802,1.054156692000106,1.5553827060002732,3.5151718080001046,8.516072027000064,18.000131344000238,1.0,8.902169583999694,1.0
5.0,99.10437192100017,1.0,2.0,-1.0,-1.0,2.0,0.013024114999552694,1.0499929119996523,1.5512662059995819,3.511389071999929,7.512061112999618,16.012980133999918,1.0,7.997668782999881,1.0
6.0,115.11963363199993,6.0,1.0,-1.0,-1.0,1.0,0.014649974999883852,1.0529548530003012,1.5541908620002687,3.514322651999919,7.515354339000169,16.016370199999983,1.0,7.867166040000029,1.0
7.0,131.13770317199987,2.0,6.0,-1.0,-1.0,2.0,0.01400537900008203,1.054539549999845,1.5557796910002253,3.5150599940002394,7.515453011999853,16.00000404100001,1.0,7.835023884999828,1.0
8.0,147.13941612500003,5.0,6.0,-1.0,-1.0,1.0,0.013845374999618798,1.0537632460000168,1.554969348999748,3.515430938999998,6.516133520000039,14.00007255499986,-1.0,6.9848081529999035,1.0
9.0,161.1411951330001,1.0,5.0,-1.0,-1.0,1.0,0.013472810999701323,1.054859433999809,1.5561427709999407,3.5151436840001224,7.516044721000071,16.000240264999775,-1.0,7.817810527999882,2.0
10.0,177.14318579600013,6.0,5.0,-1.0,-1.0,2.0,0.01445361200012485,1.054998555000111,1.5562238100001196,3.514961000999847,8.516341788999853,18.000472636999802,-1.0,8.867800995999914,1.0
11.0,195.1453668869999,2.0,5.0,-1.0,-1.0,1.0,0.014616389999901003,1.0539911249998113,1.5552251599997362,3.515068487999997,7.51574609499994,16.000211667999793,-1.0,7.8847611770002,1.0
