trial,trialOnset,leftId,rightId,ratL,ratR,frame,trialOnsetTim,trialSnd1Tim,trialSnd2Tim,trialThinkTime,trialRespTime,trialEnd,choice,choiceTime,primerSound
0.0,29.97697774900007,5.0,2.0,-1.0,-1.0,1.0,0.016905896000025677,1.0657942880000064,1.566312625999899,3.510177017999922,6.511024211999938,14.011541105999868,1.0,7.478964911000048,1.0
1.0,43.99096366999993,2.0,6.0,-1.0,-1.0,1.0,0.014469522000126744,1.0536641090000103,1.5539022590000968,3.514876202000096,7.515056615000049,16.016302494,-1.0,8.351097737000146,1.0
2.0,60.0101074050001,5.0,2.0,-1.0,-1.0,2.0,0.057480498999893825,1.1025381709998783,1.603700075000006,3.5140810630000487,8.514906973000052,18.015984438000032,-1.0,9.166975396999987,1.0
3.0,78.02821542300012,6.0,2.0,-1.0,-1.0,1.0,0.014217691000112609,1.0532748620000802,1.5544101630000569,3.5145682910001597,7.5156094410001515,16.00010327300015,-1.0,7.851127485000006,2.0
4.0,94.03016903100001,5.0,1.0,-1.0,-1.0,1.0,0.013254488000029596,1.053375160999849,1.5542910259998735,3.514665253999965,6.515891429000021,14.01611982999998,1.0,7.151506020999932,2.0
5.0,108.07559381200008,5.0,6.0,-1.0,-1.0,2.0,0.01599469699999645,1.059895238000081,1.5599932100001297,3.50352094699997,8.50480283800016,18.005992074000005,-1.0,8.839592390000007,2.0
6.0,126.08321022199993,1.0,6.0,-1.0,-1.0,2.0,0.013753732999930435,1.0548652309998943,1.555044086999942,3.5157857669998975,6.515656192000051,14.000476791999972,1.0,6.950975362000008,2.0
7.0,140.0853675190001,6.0,1.0,-1.0,-1.0,1.0,0.014194796999845494,1.0543902590000016,1.5544849689999864,3.5151096609999968,8.515327055999933,18.017105506999997,1.0,8.934152227999903,1.0
8.0,158.10434629399992,2.0,6.0,-1.0,-1.0,2.0,0.014204349000010552,1.054082247999986,1.5543419559999165,3.5148456470001292,6.515507613999944,14.015799474000005,1.0,7.068511962999992,1.0
9.0,172.12174431199992,6.0,5.0,-1.0,-1.0,2.0,0.013727158000165218,1.0554170190000605,1.5555604370001674,3.515336520000119,8.500683970000182,18.000865061000013,1.0,8.869291514999986,1.0
10.0,190.12449429000003,2.0,5.0,-1.0,-1.0,1.0,0.013297462999844356,1.0547980249998545,1.554971610999928,3.5212643029999526,8.516563123999958,18.00097338699993,-1.0,8.933366853000052,2.0
11.0,208.12723772699997,6.0,2.0,-1.0,-1.0,1.0,0.013579133999883197,1.053885014999878,1.5540235839998786,3.5148756969999795,8.515679985999896,18.00090884899987,1.0,8.850082967000162,1.0
12.0,226.13242417100014,6.0,1.0,-1.0,-1.0,2.0,0.014024504999952114,1.0505162129998098,1.5506690600000184,3.5120224919999146,7.513184216999889,16.014541407000024,1.0,9.547956398999986,2.0
13.0,242.15078994200007,1.0,5.0,-1.0,-1.0,1.0,0.014179610999917713,1.0516114549998292,1.5528161059999093,3.5124498220000078,8.513655713999924,18.015025989999913,-1.0,8.765226494999979,2.0
14.0,260.1703576709999,2.0,1.0,-1.0,-1.0,2.0,0.014202065000063158,1.0506028859999788,1.5519427210001595,3.512182361999976,6.512684098000136,14.012627416999976,-1.0,7.064328048000107,1.0
15.0,274.1850625070001,5.0,6.0,-1.0,-1.0,2.0,0.014328856000020096,1.0542718500000774,1.5556318960000226,3.5155810620001375,6.51662563900004,14.000249851000035,1.0,7.451663945999826,2.0
16.0,288.187493441,6.0,2.0,-1.0,-1.0,2.0,0.01368662699997003,1.0535031639999488,1.5541338160001033,3.5149440190000405,7.515904890000002,16.000687580999966,1.0,7.966660525000179,2.0
