,trial,trialOnset,picId,picNum,frame,rating,trialImageOnst,trialRateOnst,trialRatEnd,trialEnd
0,1.0,22.28205136300039,5.0,4.0,1.0,-1.0,0.5005290440003591,-1.0,-1.0,7.528741170000103
1,2.0,29.812038486000347,5.0,2.0,1.0,-1.0,0.6049845249999635,-1.0,-1.0,7.533531091999976
2,3.0,37.34672395000052,6.0,5.0,1.0,-1.0,0.6044103389995144,-1.0,-1.0,7.533909589999894
3,4.0,44.8818189600006,5.0,4.0,2.0,-1.0,0.6036097839996728,-1.0,-1.0,7.5326353250002285
4,5.0,52.41574152300018,5.0,6.0,1.0,-1.0,0.6037105349996637,-1.0,-1.0,7.5329085499997746
5,6.0,59.94981323100001,2.0,5.0,2.0,-1.0,0.6047438280002098,-1.0,-1.0,7.533291932999418
6,7.0,67.4842597730003,2.0,3.0,1.0,-1.0,0.6039767339998434,-1.0,-1.0,7.53289823599971
7,8.0,75.01839866499995,1.0,4.0,2.0,-1.0,0.5041125770003418,-1.0,-1.0,7.5332442250000895
8,9.0,82.55292684000051,6.0,1.0,2.0,-2.0,0.5369130489998497,5.614968140999736,8.51544475799983,11.556392749999759
9,10.0,94.11058060600044,6.0,1.0,1.0,3.0,0.5141319049998856,5.607863981999799,8.007085584000379,11.527212238000175
10,11.0,117.66072033700038,6.0,6.0,1.0,-1.0,0.5000499179996041,-1.0,-1.0,7.529446358999849
11,12.0,125.19135542300046,1.0,5.0,2.0,-1.0,0.6035461029996441,-1.0,-1.0,7.532734348999838
12,13.0,132.72532967200004,5.0,2.0,2.0,-1.0,0.6040629440003613,-1.0,-1.0,7.533498107999549
13,14.0,163.278845885,2.0,0.0,1.0,2.0,0.5038866189997862,5.615672042999904,7.599132375999943,11.533810834999713
14,15.0,195.8331122310001,2.0,5.0,1.0,-1.0,0.6040274099996168,-1.0,-1.0,7.532983973999762
15,16.0,203.36725342200043,1.0,6.0,2.0,-1.0,0.5041646199997558,-1.0,-1.0,7.532988083999953
16,17.0,210.90144233400042,5.0,7.0,2.0,-1.0,0.6040549040008045,-1.0,-1.0,7.533329904000311
17,18.0,244.47269169399988,1.0,6.0,1.0,-1.0,0.6033956569999646,-1.0,-1.0,7.533011746000739
18,19.0,252.00688661300046,6.0,2.0,1.0,-1.0,0.6034280399999261,-1.0,-1.0,7.532189462000133
19,20.0,271.54562708699996,6.0,3.0,2.0,-1.0,0.6005232279994743,-1.0,-1.0,7.529826368999238
20,21.0,279.07670886600044,6.0,2.0,2.0,-1.0,0.6039549749993967,-1.0,-1.0,7.532832333999977
21,22.0,381.73878901900025,2.0,6.0,2.0,-1.0,0.6043892050001887,-1.0,-1.0,7.533210917999895
22,23.0,401.2916076450001,2.0,0.0,2.0,1.0,0.5038148520006871,5.615564652000103,6.6313981869998315,11.533937687000616
23,24.0,422.84367106599984,1.0,7.0,1.0,-1.0,0.6040824760002579,-1.0,-1.0,7.533503722000205
24,25.0,430.37834428800033,1.0,2.0,1.0,-1.0,0.6040698289998545,-1.0,-1.0,7.533258679000028
25,26.0,437.91291683800046,1.0,0.0,2.0,1.0,0.5034294730003239,5.6150121939999735,7.214528419000089,11.53346286499982
26,27.0,475.50006014800056,2.0,1.0,1.0,1.0,0.5046359970001504,5.615518992999569,6.847909207000157,11.533712381999976
27,28.0,487.0351764699999,1.0,1.0,2.0,2.0,0.5041360430004715,5.614423171999988,8.014751957000044,11.533311227000013
28,29.0,529.6063793530002,1.0,2.0,2.0,-1.0,0.6047372439998071,-1.0,-1.0,7.533187594000083
29,30.0,548.158964708,5.0,0.0,1.0,2.0,0.5047162450000542,5.615085678000469,7.314045447000353,11.534263771000042
30,31.0,559.6945013610002,5.0,6.0,2.0,-1.0,0.6030927870006053,-1.0,-1.0,7.532216307999988
31,32.0,567.2279681830005,1.0,1.0,1.0,4.0,0.5050085399998352,5.615452496000216,6.549144497999805,11.533615076999922
