trial,trialOnset,leftId,rightId,ratL,ratR,frame,trialOnsetTim,trialSnd1Tim,trialSnd2Tim,trialThinkTime,trialRespTime,trialEnd,choice,choiceTime,primerSound
0.0,110.85965026400004,1.0,6.0,-1.0,-1.0,2.0,0.007174847999976919,1.036898611999959,1.5381770280000637,3.5146263770000132,3.5149984019999465,11.016446722999945,1.0,3.783780629000148,1.0
1.0,121.87727556799996,5.0,6.0,-1.0,-1.0,2.0,0.00676934800003437,1.0390902870001355,1.5396904780000114,3.5153048900001522,3.516413324000041,10.000600317000135,-1.0,4.150707427000043,1.0
2.0,131.87904944399997,1.0,5.0,-1.0,-1.0,2.0,0.0067220549999547075,1.037793585999907,1.5390444399999978,3.514899266999919,3.5152677559999574,10.016076852999959,1.0,3.783184176000077,2.0
3.0,164.50012449899987,5.0,6.0,-1.0,-1.0,1.0,0.006961556000078417,1.0368974560001334,1.5381337510000321,3.514661455000123,3.5150366540001414,11.015589707000117,1.0,3.8001139460000104,1.0
4.0,175.51723969199998,5.0,1.0,-1.0,-1.0,2.0,0.007028705999800877,1.0380316779999248,1.5392744109999512,3.5156879909998224,3.516055348000009,10.0002320279998,-1.0,3.8510694799999783,1.0
5.0,204.58785112099986,5.0,6.0,-1.0,-1.0,2.0,0.007405221999988498,1.0548171679999996,1.55608316200005,3.5149929040001098,3.5154794669999774,10.016444554000145,-1.0,3.8839008800000556,2.0
6.0,227.16221221399996,6.0,2.0,-1.0,-1.0,2.0,0.00694064399999661,1.0496201359999304,1.5508646060000046,3.510203648000015,3.5106825899999876,12.011830191999934,-1.0,3.8622099110000363,2.0
7.0,250.69393246699997,1.0,6.0,-1.0,-1.0,1.0,0.007253375999880518,1.0537824649998129,1.5550024739998207,3.514540858999908,3.514914426999894,12.016009527999813,-1.0,3.8331742099999246,1.0
8.0,277.7804692939999,5.0,6.0,-1.0,-1.0,1.0,0.007388296000044647,1.037326486999973,1.538792863000026,3.5146054870001535,3.5149875930001144,12.016620575000161,1.0,3.900078551999968,2.0
9.0,289.798530389,2.0,1.0,-1.0,-1.0,1.0,0.007640688000037699,1.054098243999988,1.5553408939999827,3.514612558999943,3.51498278400004,12.015901630000144,1.0,3.933221823000167,2.0
10.0,301.81590033399993,6.0,2.0,-1.0,-1.0,2.0,0.0074648689999321505,1.0382361819999915,1.5395059039999524,3.5154814539998824,3.515826701999913,11.017144041999927,-1.0,3.984555623999995,1.0
11.0,320.368753167,5.0,2.0,-1.0,-1.0,1.0,0.0066911379999510245,1.0374663330001113,1.5387330670000665,3.5149337380000816,3.5154484320000847,12.016696572,1.0,3.7997151380000105,2.0
12.0,337.4018370639999,5.0,2.0,-1.0,-1.0,1.0,0.006696391999867046,1.0562001280000004,1.5573781609998605,3.5006806579999648,3.501053770999988,11.001673644999983,1.0,3.8190780319998794,1.0
13.0,355.93976993699994,6.0,1.0,-1.0,-1.0,1.0,0.0069181169999410486,1.0375633369999377,1.53881897999986,3.514904020999893,3.5152783739999904,10.015843174999873,1.0,3.767040708999957,2.0
14.0,381.0263991909999,1.0,6.0,-1.0,-1.0,1.0,0.007061929999963468,1.0373285659998146,1.5386360039999545,3.5148118049999084,3.515186083999879,12.015829358000019,-1.0,3.9333436510000865,2.0
15.0,404.56216405500004,2.0,1.0,-1.0,-1.0,1.0,0.007249176999948759,1.0546744460000355,1.5559303590000582,3.5151702309999564,3.51555182900006,11.016650258000027,1.0,3.9494167739999284,1.0
16.0,415.580471622,5.0,2.0,-1.0,-1.0,2.0,0.007317687999830014,1.0537270380000336,1.5550688629998604,3.5138239129998965,3.5141471289998663,11.016192725999872,-1.0,4.032106341000144,2.0
17.0,445.66793651700004,2.0,5.0,-1.0,-1.0,1.0,0.0069376330000068265,1.0361378899999636,1.5374563650000255,3.51450600499993,3.514881191000086,10.015666285999941,-1.0,4.165955835999966,2.0
18.0,475.77578842899993,5.0,1.0,-1.0,-1.0,1.0,0.007181846000094083,1.0660044989999733,1.5672583479999957,3.509386379000034,3.509761339000079,12.011096224000084,1.0,3.795413040000085,2.0
19.0,502.8575233239999,6.0,1.0,-1.0,-1.0,2.0,0.007240348999857815,1.0377030849999755,1.5390135699999519,3.514985877999834,3.5155771329998515,11.016063681999867,-1.0,3.9171855790000336,1.0
20.0,513.8752283849999,1.0,2.0,-1.0,-1.0,1.0,0.00732046200005243,1.0384653779999553,1.5397150500000407,3.515533606999952,3.515994868000007,11.016676399000062,-1.0,3.966853793999917,2.0
21.0,539.9624314099999,6.0,1.0,-1.0,-1.0,1.0,0.007251620000033654,1.0368487959999584,1.5381163770000512,3.5148447179999494,3.5153299040000547,12.015990214000112,1.0,3.9835948810000446,1.0
22.0,551.9800613099999,6.0,5.0,-1.0,-1.0,2.0,0.0073688879999735946,1.0379993619999368,1.539319267999872,3.5151430779999373,3.5155213819998608,10.016314905999934,1.0,4.017642315999865,2.0
23.0,561.997796312,5.0,1.0,-1.0,-1.0,2.0,0.006944563999923048,1.0378584729999147,1.5391337290000138,3.5157302570000866,3.5162663189998966,10.016908836000084,-1.0,5.7008051730001625,2.0
