,trial,trialOnset,picId,picNum,frame,rating,trialImageOnst,trialRateOnst,trialRatEnd,trialEnd
0,1.0,24.019992021000007,1.0,6.0,2.0,-1.0,0.615435596999987,-1.0,-1.0,7.527647653000031
1,2.0,31.548857247,5.0,6.0,1.0,-1.0,0.5376879170000848,-1.0,-1.0,7.533376835000013
2,3.0,39.08326795400001,5.0,3.0,2.0,-1.0,0.5371530730000131,-1.0,-1.0,7.5327462349999905
3,4.0,46.61720815600006,5.0,5.0,2.0,-1.0,0.5381462430000283,-1.0,-1.0,7.533389426999975
4,5.0,54.15464436700006,6.0,1.0,1.0,3.0,0.5683337179999626,5.612627637999935,7.062237999999979,11.530510606999997
5,6.0,65.68643035500008,6.0,2.0,2.0,-1.0,0.5376144170000998,-1.0,-1.0,7.533289929000034
6,7.0,73.22097816799999,6.0,3.0,2.0,-1.0,0.5372458090000691,-1.0,-1.0,7.533185602000003
7,8.0,80.75551186799999,1.0,1.0,2.0,1.0,0.5545326600000635,5.631665548000001,7.831548006000048,11.533332636000068
8,9.0,92.29030512400004,6.0,0.0,1.0,4.0,0.5534671970000318,5.614639049999937,6.998347318000015,11.533680724999954
9,10.0,103.82532434900008,2.0,5.0,2.0,-1.0,0.536320822000107,-1.0,-1.0,7.5323733430000175
10,11.0,122.37637396000002,2.0,0.0,2.0,3.0,0.5545739109999204,5.614796109999929,7.98229569199998,11.53416451999999
11,12.0,143.92933214900006,2.0,6.0,2.0,-1.0,0.5539722899999333,-1.0,-1.0,7.5331920180000225
12,13.0,163.481237385,2.0,7.0,1.0,-1.0,0.5378145529999756,-1.0,-1.0,7.533682440999996
13,14.0,182.03251848399998,2.0,4.0,1.0,-1.0,0.5382861800000001,-1.0,-1.0,7.534086990999981
14,15.0,210.60413820000008,2.0,2.0,1.0,-1.0,0.537298447000012,-1.0,-1.0,7.5332766739999215
15,16.0,218.13904914400007,2.0,3.0,2.0,-1.0,0.5363681889999725,-1.0,-1.0,7.532667855999989
16,17.0,252.709477944,2.0,2.0,2.0,-1.0,0.604514131999963,-1.0,-1.0,7.532630794000056
17,18.0,260.2433855720001,6.0,6.0,2.0,-1.0,0.5379386100000829,-1.0,-1.0,7.533654071000001
18,19.0,289.7969668160001,1.0,6.0,1.0,-1.0,0.6040572480001174,-1.0,-1.0,7.53331968800012
19,20.0,297.3315361980001,2.0,0.0,1.0,3.0,0.5045825400000012,5.615227109999978,6.414596402999905,11.533278768999935
20,21.0,319.883883341,1.0,0.0,2.0,1.0,0.5540823159999491,5.615313959000105,7.280702082000062,11.533787988000086
21,22.0,343.436680323,6.0,4.0,1.0,-1.0,0.5382684660000905,-1.0,-1.0,7.533465184000079
22,23.0,367.006146254,5.0,4.0,1.0,-1.0,0.5377663300000677,-1.0,-1.0,7.5333840260000215
23,24.0,396.57670499200003,5.0,7.0,1.0,-1.0,0.537500719000036,-1.0,-1.0,7.533008303000088
24,25.0,404.111000115,1.0,3.0,1.0,-1.0,0.5540386600000602,-1.0,-1.0,7.533509036999931
25,26.0,421.66300443299997,5.0,0.0,2.0,2.0,0.5381991080000716,5.615066881000075,7.281669711000177,11.53374379700017
26,27.0,433.19807478000007,2.0,1.0,2.0,2.0,0.5539953270001661,5.615173696000056,7.3817382790000465,11.533615343000065
27,28.0,484.7706465210001,2.0,1.0,1.0,4.0,0.5040652499999396,5.614923997999995,6.214814050999848,11.532781556999907
28,29.0,507.3072445590001,5.0,4.0,2.0,-1.0,0.6045330379999996,-1.0,-1.0,7.532638377000012
29,30.0,514.8412125510001,5.0,3.0,1.0,-1.0,0.6041556410000339,-1.0,-1.0,7.533083648000002
30,31.0,565.4469733620001,5.0,1.0,2.0,4.0,0.5545574399998259,5.615810338999836,6.3141161879998435,11.533917485999837
31,32.0,576.982175006,1.0,4.0,2.0,-1.0,0.53681286799997,-1.0,-1.0,7.5329013020000275
