LRat1,LRat2,LVar1,LVar2,Part,RRat1,RRat2,RVar1,RVar2,choice,choiceTime,endTime,frame,leftId,part,primerSound,rightId,trial,trialEnd,trialOnset,trialOnsetTim,trialRespTime,trialSnd1Tim,trialSnd2Tim,trialThinkTime
4.0,1.5,0.0,0.0,0,1.5,3.0,0.7071067811865476,0.7071067811865476,1.0,6.116869347999455,,2.0,1.0,0.0,1.0,5.0,0.0,12.016119410999634,105.63910258299984,0.007159777000197209,3.5146521529995876,1.0368543060003503,1.5380429839997305,3.514279078999607
2.5,3.0,0.7071067811865476,0.7071067811865476,0,4.0,1.5,0.0,0.0,1.0,4.2498956300005375,,1.0,6.0,0.0,2.0,1.0,1.0,11.015565345999676,140.2600577820003,0.006985713999711153,3.5147436520001065,1.0376022850005029,1.5388725220000197,3.514373677000549
2.5,3.0,0.7071067811865476,0.7071067811865476,0,1.5,3.0,0.7071067811865476,0.7071067811865476,1.0,6.350817642000037,,2.0,6.0,0.0,2.0,5.0,2.0,12.000157364000186,151.2771442530002,0.007057354000608029,3.515989319000255,1.0375906880008188,1.5388901210008044,3.5156224520005708
4.0,1.5,0.0,0.0,0,1.5,2.5,0.7071067811865476,0.7071067811865476,-1.0,4.00034891300038,,1.0,1.0,0.0,2.0,2.0,3.0,10.015632912999537,174.8141384290002,0.006996725000135484,3.5155433489999273,1.037230523999824,1.5385402339998109,3.5150629969994043
4.0,1.5,0.0,0.0,0,1.5,3.0,0.7071067811865476,0.7071067811865476,-1.0,3.900939447999917,,1.0,1.0,0.0,1.0,5.0,4.0,11.000570676000281,184.8309928790004,0.006804640999689582,3.5160649190002005,1.038631665000139,1.5398149590000685,3.5156989140004957
1.5,2.5,0.7071067811865476,0.7071067811865476,0,2.5,3.0,0.7071067811865476,0.7071067811865476,1.0,3.86702754199996,,1.0,2.0,0.0,2.0,6.0,5.0,11.016093514000204,218.43594917700008,0.007063687000481878,3.515620203000253,1.0372251910002888,1.5384155240008113,3.5152541200004634
1.5,3.0,0.7071067811865476,0.7071067811865476,0,4.0,1.5,0.0,0.0,-1.0,4.085629001000598,,2.0,5.0,0.0,2.0,1.0,6.0,10.001832230999753,234.4691941410001,0.0068730139992112535,3.5006741859997415,1.039070952999282,1.5403764519996912,3.5001926339991765
4.0,1.5,0.0,0.0,0,2.5,3.0,0.7071067811865476,0.7071067811865476,-1.0,3.8669414120004153,,1.0,1.0,0.0,1.0,6.0,7.0,12.000772209000386,259.54031666799983,0.007033699999738019,3.516298430999996,1.0378333850003398,1.5391076010000688,3.5158191580003404
1.5,2.5,0.7071067811865476,0.7071067811865476,0,4.0,1.5,0.0,0.0,-1.0,4.166530855000018,,2.0,2.0,0.0,2.0,1.0,8.0,12.016325495999807,286.61088415300037,0.007261188000484253,3.5151842309996937,1.0367029290000571,1.5380352629999834,3.51463703599984
4.0,1.5,0.0,0.0,0,1.5,3.0,0.7071067811865476,0.7071067811865476,1.0,3.900978026000303,,2.0,1.0,0.0,2.0,5.0,9.0,12.000550056000064,298.62852221699995,0.006909414999427099,3.5160927359993366,1.0381485789994258,1.5393889249999118,3.5157264310000755
2.5,3.0,0.7071067811865476,0.7071067811865476,0,1.5,2.5,0.7071067811865476,0.7071067811865476,1.0,3.9006128129994977,,2.0,6.0,0.0,1.0,2.0,10.0,11.016440255999438,310.6303034640005,0.00678091699955985,3.515448238999852,1.0376302369995756,1.5388482379994457,3.5150810719997025
4.0,1.5,0.0,0.0,0,1.5,2.5,0.7071067811865476,0.7071067811865476,1.0,3.8838974269992836,,2.0,1.0,0.0,2.0,2.0,11.0,10.016765014000155,321.6481236139998,0.007320513999729883,3.515515897000114,1.0381092480001826,1.5393679799999518,3.515148069999668
2.5,3.0,0.7071067811865476,0.7071067811865476,0,4.0,1.5,0.0,0.0,1.0,3.968927959999746,,1.0,6.0,0.0,1.0,1.0,12.0,11.00079786400056,336.68244248900015,0.006692271000247274,3.5161671160003607,1.038448836000498,1.5397483790002298,3.515795758999957
1.5,3.0,0.7071067811865476,0.7071067811865476,0,4.0,1.5,0.0,0.0,1.0,3.899809328999254,,1.0,5.0,0.0,1.0,1.0,13.0,12.016887032999875,347.6848009169998,0.0073147199991581155,3.5160530839993958,1.037755630999527,1.5389861429994198,3.5155807799992544
1.5,2.5,0.7071067811865476,0.7071067811865476,0,2.5,3.0,0.7071067811865476,0.7071067811865476,1.0,3.884033025999997,,1.0,2.0,0.0,1.0,6.0,14.0,10.01648638200004,359.70301765299973,0.007048819999909028,3.5151241949997716,1.0379064740000103,1.5391498230001162,3.5147611120000875
2.5,3.0,0.7071067811865476,0.7071067811865476,0,4.0,1.5,0.0,0.0,-1.0,4.150301228999524,,2.0,6.0,0.0,2.0,1.0,15.0,12.01635912800066,369.721144444,0.007441046000167263,3.51491300700036,1.0534458780002751,1.554753245000029,3.5145612470005285
