trial,leftId,rightId,ratL,ratR,Frame,endTime,choice,choiceTime
0.0,2.0,12.0,36.0,45.0,1.0,7.01638302700303,1.0,1.6859642250055913
1.0,11.0,28.0,15.0,29.0,1.0,7.000568293995457,1.0,2.4041461719898507
2.0,5.0,27.0,1.0,27.0,1.0,7.000017162004951,1.0,3.070027514011599
3.0,3.0,14.0,37.0,32.0,1.0,7.01665427700209,-1.0,2.1519422700075665
4.0,5.0,16.0,1.0,29.0,1.0,7.001546422005049,1.0,1.9208486419956898
5.0,28.0,11.0,29.0,15.0,1.0,7.0002118370030075,-1.0,1.7850339249998797
6.0,27.0,5.0,27.0,1.0,1.0,7.015835154990782,1.0,1.769447847007541
7.0,19.0,11.0,10.0,15.0,1.0,7.0019881689950125,-1.0,1.952239608988748
8.0,16.0,5.0,29.0,1.0,1.0,7.0017588030023035,-1.0,1.5853233400121098
9.0,12.0,27.0,45.0,27.0,1.0,7.00137330898724,-1.0,1.5687598689983133
10.0,7.0,16.0,28.0,29.0,1.0,7.002194258006057,1.0,2.369878644007258
11.0,9.0,10.0,26.0,27.0,1.0,7.001600000992767,1.0,2.1363951370003633
12.0,16.0,7.0,29.0,28.0,1.0,7.001780139005859,-1.0,2.569616495005903
13.0,10.0,3.0,27.0,37.0,1.0,7.001877214002889,1.0,2.4368217379960697
14.0,9.0,4.0,26.0,28.0,1.0,7.001392877995386,1.0,1.8536993000016082
15.0,25.0,31.0,12.0,24.0,1.0,7.001756828991347,-1.0,2.4865855060052127
16.0,19.0,14.0,10.0,32.0,1.0,7.001770750008291,1.0,1.7025310719909612
17.0,26.0,30.0,25.0,11.0,1.0,7.001746208014083,-1.0,2.152338547006366
18.0,15.0,32.0,38.0,37.0,1.0,7.000887185000465,-1.0,1.6194586279889336
19.0,25.0,7.0,12.0,28.0,1.0,7.016149636998307,1.0,1.9375415000104113
20.0,4.0,28.0,28.0,29.0,2.0,7.014255397007219,1.0,2.352554594996036
21.0,10.0,9.0,27.0,26.0,2.0,7.002091032001772,1.0,1.8040883780049626
22.0,19.0,14.0,10.0,32.0,2.0,7.000911208000616,-1.0,1.3339705760008655
23.0,12.0,2.0,45.0,36.0,2.0,7.000957237003604,-1.0,2.703209932995378
24.0,31.0,32.0,24.0,37.0,2.0,7.001244480998139,-1.0,1.451605226000538
25.0,12.0,27.0,45.0,27.0,2.0,7.001730738003971,1.0,2.6035686090035597
26.0,14.0,19.0,32.0,10.0,2.0,7.001579175004736,1.0,1.2866493549954612
