trial,leftId,rightId,ratL,ratR,Frame,endTime,choice,choiceTime
0.0,32.0,6.0,26.0,50.0,1.0,7.012619312001334,-1.0,2.250290144002065
1.0,24.0,11.0,46.0,24.0,1.0,7.014393278994248,-1.0,1.3166239359998144
2.0,19.0,13.0,11.0,21.0,1.0,7.014035402004083,1.0,1.7341399470024044
3.0,12.0,21.0,38.0,48.0,1.0,7.0146903339991695,1.0,1.350720590002311
4.0,5.0,12.0,1.0,38.0,1.0,7.0143028300008154,1.0,1.7176670550034032
5.0,2.0,10.0,46.0,33.0,1.0,7.014256811999076,-1.0,2.3837318750011036
6.0,10.0,8.0,33.0,19.0,1.0,7.014760664998903,-1.0,1.5341275569953723
7.0,14.0,7.0,29.0,22.0,1.0,7.014171614006045,-1.0,1.8840612359999795
8.0,10.0,2.0,33.0,46.0,1.0,7.014200700999936,1.0,1.3174603000006755
9.0,14.0,18.0,29.0,50.0,1.0,7.0139191880007274,1.0,1.4168345690050046
10.0,20.0,25.0,49.0,25.0,1.0,7.014514620001137,-1.0,3.11607333500433
11.0,8.0,10.0,19.0,33.0,1.0,7.014896631000738,1.0,1.4508923110042815
12.0,13.0,2.0,21.0,46.0,1.0,7.014069976998144,1.0,1.5007733200036455
13.0,21.0,12.0,48.0,38.0,1.0,7.015066751999257,-1.0,1.166667758996482
14.0,13.0,19.0,21.0,11.0,1.0,7.013957230999949,-1.0,1.4500400350007112
15.0,11.0,24.0,24.0,46.0,1.0,7.014374628000951,1.0,1.1517384359976859
16.0,16.0,18.0,9.0,50.0,1.0,7.015005656998255,1.0,1.2832468729975517
17.0,19.0,27.0,11.0,34.0,1.0,7.014412213000469,1.0,1.1999807239990332
18.0,18.0,14.0,50.0,29.0,1.0,7.013945017999504,-1.0,1.2489716560012312
19.0,18.0,16.0,50.0,9.0,1.0,7.013872878997063,-1.0,2.883250108003267
20.0,7.0,14.0,22.0,29.0,2.0,7.00486521700077,-1.0,2.1835911759990267
