,trial,picId,picNum,frame,rating
0,1.0,5.0,1.0,1.0,1.0
1,2.0,5.0,0.0,1.0,1.0
2,3.0,8.0,0.0,1.0,33.0
3,4.0,15.0,0.0,1.0,5.0
4,5.0,29.0,0.0,1.0,1.0
5,6.0,28.0,0.0,1.0,50.0
6,7.0,9.0,0.0,1.0,37.0
7,8.0,12.0,1.0,1.0,47.0
8,9.0,21.0,1.0,1.0,19.0
9,10.0,16.0,1.0,1.0,14.0
10,11.0,7.0,0.0,1.0,14.0
11,12.0,24.0,1.0,1.0,36.0
12,13.0,4.0,0.0,1.0,20.0
13,14.0,6.0,1.0,1.0,47.0
14,15.0,16.0,0.0,1.0,16.0
15,16.0,31.0,0.0,1.0,2.0
16,17.0,6.0,0.0,1.0,48.0
17,18.0,18.0,1.0,1.0,37.0
18,19.0,15.0,1.0,1.0,14.0
19,20.0,28.0,1.0,1.0,49.0
20,21.0,8.0,1.0,1.0,36.0
21,22.0,23.0,0.0,1.0,48.0
22,23.0,30.0,0.0,1.0,14.0
23,24.0,3.0,0.0,1.0,12.0
24,25.0,20.0,1.0,1.0,42.0
25,26.0,2.0,0.0,1.0,40.0
26,27.0,31.0,1.0,1.0,2.0
27,28.0,4.0,1.0,1.0,10.0
28,29.0,23.0,1.0,1.0,49.0
29,30.0,3.0,1.0,1.0,10.0
30,31.0,24.0,0.0,1.0,35.0
31,32.0,12.0,0.0,1.0,42.0
32,33.0,30.0,1.0,1.0,17.0
33,34.0,7.0,1.0,1.0,14.0
34,35.0,29.0,1.0,1.0,1.0
35,36.0,18.0,0.0,1.0,33.0
36,37.0,9.0,1.0,1.0,33.0
37,38.0,20.0,0.0,1.0,38.0
38,39.0,2.0,1.0,1.0,38.0
39,40.0,21.0,0.0,1.0,21.0
40,41.0,3.0,1.0,2.0,35.0
41,42.0,20.0,0.0,2.0,3.0
42,43.0,5.0,0.0,2.0,50.0
43,44.0,24.0,1.0,2.0,9.0
44,45.0,28.0,0.0,2.0,1.0
45,46.0,28.0,1.0,2.0,1.0
46,47.0,4.0,1.0,2.0,16.0
47,48.0,12.0,0.0,2.0,11.0
48,49.0,31.0,0.0,2.0,50.0
49,50.0,7.0,1.0,2.0,36.0
50,51.0,20.0,1.0,2.0,7.0
51,52.0,5.0,1.0,2.0,50.0
52,53.0,2.0,0.0,2.0,11.0
53,54.0,21.0,0.0,2.0,30.0
54,55.0,6.0,0.0,2.0,5.0
55,56.0,30.0,1.0,2.0,35.0
56,57.0,15.0,0.0,2.0,39.0
57,58.0,30.0,0.0,2.0,37.0
58,59.0,2.0,1.0,2.0,10.0
59,60.0,7.0,0.0,2.0,35.0
60,61.0,12.0,1.0,2.0,2.0
61,62.0,8.0,0.0,2.0,14.0
62,63.0,8.0,1.0,2.0,14.0
63,64.0,23.0,0.0,2.0,1.0
64,65.0,18.0,0.0,2.0,10.0
65,66.0,16.0,0.0,2.0,41.0
66,67.0,9.0,0.0,2.0,19.0
67,68.0,18.0,1.0,2.0,21.0
68,69.0,29.0,0.0,2.0,50.0
69,70.0,23.0,1.0,2.0,1.0
70,71.0,9.0,1.0,2.0,17.0
71,72.0,4.0,0.0,2.0,34.0
72,73.0,15.0,1.0,2.0,42.0
73,74.0,24.0,0.0,2.0,15.0
74,75.0,16.0,1.0,2.0,33.0
75,76.0,3.0,0.0,2.0,36.0
76,77.0,6.0,1.0,2.0,3.0
77,78.0,29.0,1.0,2.0,50.0
78,79.0,21.0,1.0,2.0,35.0
79,80.0,31.0,1.0,2.0,50.0
