trial,leftId,rightId,ratL,ratR,Frame,endTime,choice,choiceTime
0.00E+00,7.00E+00,3.20E+01,2.70E+01,3.80E+01,2.00E+00,7.51E+00,1.00E+00,7.27E-01
1.00E+00,1.70E+01,3.00E+00,2.60E+01,2.10E+01,1.00E+00,7.50E+00,1.00E+00,1.25E+00
2.00E+00,2.80E+01,1.40E+01,3.80E+01,2.30E+01,1.00E+00,7.50E+00,-1.00E+00,7.27E-01
3.00E+00,3.20E+01,5.00E+00,3.80E+01,1.00E+00,1.00E+00,7.50E+00,-1.00E+00,6.10E-01
4.00E+00,1.70E+01,3.00E+00,2.60E+01,2.10E+01,2.00E+00,7.50E+00,1.00E+00,1.21E+00
5.00E+00,1.60E+01,2.70E+01,9.00E+00,2.50E+01,1.00E+00,7.50E+00,1.00E+00,1.06E+00
6.00E+00,2.80E+01,1.40E+01,3.80E+01,2.30E+01,2.00E+00,7.50E+00,-1.00E+00,8.96E-01
7.00E+00,1.40E+01,3.00E+01,2.30E+01,1.00E+00,2.00E+00,7.50E+00,-1.00E+00,6.14E-01
8.00E+00,2.90E+01,7.00E+00,1.00E+00,2.70E+01,1.00E+00,7.50E+00,1.00E+00,8.47E-01
9.00E+00,4.00E+00,1.00E+01,3.00E+01,3.00E+01,1.00E+00,7.50E+00,-1.00E+00,8.11E-01
1.00E+01,1.00E+01,3.00E+01,3.00E+01,1.00E+00,2.00E+00,7.50E+00,1.00E+00,9.44E-01
1.10E+01,7.00E+00,2.90E+01,2.70E+01,1.00E+00,1.00E+00,7.50E+00,1.00E+00,1.15E+00
1.20E+01,2.70E+01,1.60E+01,2.50E+01,9.00E+00,2.00E+00,7.50E+00,-1.00E+00,5.31E-01
1.30E+01,1.20E+01,2.10E+01,5.00E+01,3.40E+01,2.00E+00,7.50E+00,-1.00E+00,1.86E+00
1.40E+01,2.90E+01,2.00E+00,1.00E+00,2.40E+01,1.00E+00,7.50E+00,1.00E+00,1.83E+00
1.50E+01,1.50E+01,2.10E+01,2.20E+01,3.40E+01,2.00E+00,7.50E+00,1.00E+00,1.45E+00
