trial,leftId,rightId,ratL,ratR,Frame,endTime,choice,choiceTime
0.0,18.0,21.0,35.0,20.0,1.0,7.008808430000499,-1.0,1.9682494970002153
1.0,28.0,16.0,49.0,15.0,1.0,7.0148712629998045,-1.0,1.2015284659973986
2.0,20.0,5.0,40.0,1.0,1.0,7.01473120800074,-1.0,1.2848039290001907
3.0,4.0,24.0,15.0,35.0,1.0,7.014824206999037,1.0,1.3665662060011528
4.0,3.0,6.0,11.0,47.0,1.0,7.013410503001069,1.0,1.2036557899991749
5.0,21.0,18.0,20.0,35.0,1.0,7.016214360999584,1.0,1.3019093250004516
6.0,5.0,20.0,1.0,40.0,1.0,7.014900713998941,1.0,1.3518441279993567
7.0,23.0,7.0,48.0,14.0,1.0,7.0152699509999366,-1.0,1.1857676140025433
8.0,12.0,18.0,44.0,35.0,1.0,7.013016707998759,-1.0,1.2684757009992609
9.0,29.0,15.0,1.0,9.0,1.0,7.015658453998185,1.0,1.8009640840027714
10.0,29.0,9.0,1.0,35.0,1.0,7.0148160200005805,1.0,1.4175707340000372
11.0,28.0,6.0,49.0,47.0,1.0,7.015420979001647,-1.0,0.9683626330006518
12.0,31.0,7.0,2.0,14.0,1.0,7.014854655000818,1.0,2.0024863640028343
13.0,18.0,12.0,35.0,44.0,1.0,7.015225925002596,1.0,1.4850272670009872
14.0,15.0,2.0,9.0,39.0,1.0,7.014933193997422,1.0,1.2005189199990127
15.0,15.0,29.0,9.0,1.0,1.0,7.012853655996878,-1.0,1.4996447800003807
16.0,6.0,3.0,47.0,11.0,1.0,7.015211313999316,-1.0,1.4689671439991798
17.0,7.0,23.0,14.0,48.0,1.0,7.014635568000813,1.0,1.0187706949982385
18.0,21.0,4.0,20.0,15.0,1.0,7.014671050998004,1.0,1.3173490980007045
19.0,16.0,28.0,15.0,49.0,1.0,7.014547184997355,1.0,1.2026023419966805
20.0,6.0,28.0,47.0,49.0,2.0,7.000303417997202,-1.0,2.767265073998715
21.0,2.0,15.0,39.0,9.0,2.0,7.015684294001403,1.0,1.9871326890024648
22.0,29.0,15.0,1.0,9.0,2.0,7.014539887000865,-1.0,1.218680800000584
